course_title,course_type,partnership,skill_level,topic,url,course_description,instructor_name,duration
Machine Learning in Production,Courses,[],Medium,"['Data Engineering', 'Deep Learning', 'MLOps']",https://www.deeplearning.ai/courses/machine-learning-in-production,No description available,No instructor listed,Duration not listed
Quantization in Depth,Short Courses,['Hugging Face'],Medium,['Compression and Quantization'],https://www.deeplearning.ai/short-courses/quantization-in-depth,No description available,No instructor listed,1 Hour
Prompt Engineering for Vision Models,Short Courses,['Comet'],Easy,"['Computer Vision', 'Diffusion Models', 'Fine-Tuning', 'Generative Models', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/prompt-engineering-for-vision-models,No description available,No instructor listed,1 Hour
Quality and Safety for LLM Applications,Short Courses,['WhyLabs'],Easy,"['AI Safety', 'Embeddings', 'Evaluation and Monitoring', 'GenAI Applications', 'Vector Databases']",https://www.deeplearning.ai/short-courses/quality-safety-llm-applications,No description available,No instructor listed,1 Hour
Getting Started With Mistral,Short Courses,['Mistral AI'],Easy,"['Embeddings', 'Generative Models', 'Prompt Engineering', 'RAG']",https://www.deeplearning.ai/short-courses/getting-started-with-mistral,No description available,No instructor listed,1 Hour
Preprocessing Unstructured Data for LLM Applications,Short Courses,['Unstructured'],Easy,"['Computer Vision', 'Document Processing', 'GenAI Applications', 'RAG', 'Vector Databases']",https://www.deeplearning.ai/short-courses/preprocessing-unstructured-data-for-llm-applications,No description available,No instructor listed,1 Hour
Quantization Fundamentals with Hugging Face,Short Courses,['Hugging Face'],Easy,"['Generative Models', 'Compression and Quantization', 'MultiModal', 'Transformers']",https://www.deeplearning.ai/short-courses/quantization-fundamentals-with-hugging-face,No description available,No instructor listed,1 Hour
Vector Databases: from Embeddings to Applications,Short Courses,['Weaviate'],Medium,"['Embeddings', 'GenAI Applications', 'RAG', 'Search and Retrieval', 'Vector Databases']",https://www.deeplearning.ai/short-courses/vector-databases-embeddings-applications,No description available,No instructor listed,1 Hour
"Functions, Tools and Agents with LangChain",Short Courses,['LangChain'],Medium,"['AI Frameworks', 'Agents', 'Chatbots', 'Generative Models', 'Prompt Engineering', 'RAG']",https://www.deeplearning.ai/short-courses/functions-tools-agents-langchain,No description available,No instructor listed,1 Hour
Generative AI for Everyone,Courses,[],Easy,"['Fine-Tuning', 'GenAI Applications', 'Generative Models', 'Prompt Engineering']",https://www.deeplearning.ai/courses/generative-ai-for-everyone,No description available,No instructor listed,Duration not listed
Understanding and Applying Text Embeddings,Short Courses,['Google Cloud'],Easy,"['Embeddings', 'GenAI Applications', 'NLP', 'RAG', 'Search and Retrieval']",https://www.deeplearning.ai/short-courses/google-cloud-vertex-ai,No description available,No instructor listed,1 Hour
How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,Short Courses,['Microsoft'],Easy,"['AI Frameworks', 'Chatbots', 'GenAI Applications', 'Prompt Engineering', 'RAG']",https://www.deeplearning.ai/short-courses/microsoft-semantic-kernel,No description available,No instructor listed,1 Hour
Finetuning Large Language Models,Short Courses,['Lamini'],Medium,"['Deep Learning', 'Fine-Tuning', 'Transformers']",https://www.deeplearning.ai/short-courses/finetuning-large-language-models,No description available,No instructor listed,1 Hour
Evaluating and Debugging Generative AI Models Using Weights and Biases,Short Courses,['Weights and Biases'],Medium,"['Evaluation and Monitoring', 'Fine-Tuning', 'Generative Models', 'LLMOps', 'MLOps', 'MultiModal', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/evaluating-debugging-generative-ai,No description available,No instructor listed,1 Hour
Building Generative AI Applications with Gradio,Short Courses,['Hugging Face'],Easy,"['Chatbots', 'Diffusion Models', 'GenAI Applications', 'Generative Models']",https://www.deeplearning.ai/short-courses/building-generative-ai-applications-with-gradio,No description available,No instructor listed,1 Hour
Deep Learning Specialization,Specializations,[],Medium,"['Computer Vision', 'Deep Learning', 'NLP', 'Supervised Learning', 'Transformers']",https://www.deeplearning.ai/courses/deep-learning-specialization,No description available,No instructor listed,Duration not listed
LLMOps,Short Courses,['Google Cloud'],Easy,"['AI Safety', 'Chatbots', 'Data Processing', 'Evaluation and Monitoring', 'Fine-Tuning', 'LLMOps']",https://www.deeplearning.ai/short-courses/llmops,No description available,No instructor listed,1 Hour
Generative AI with LLMs,Courses,[],Medium,"['Fine-Tuning', 'GenAI Applications', 'Generative Models', 'Prompt Engineering', 'Transformers']",https://www.deeplearning.ai/courses/generative-ai-with-llms,No description available,No instructor listed,Duration not listed
Building Systems with the ChatGPT API,Short Courses,['OpenAI'],Easy,"['AI Safety', 'Chatbots', 'GenAI Applications', 'Generative Models', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/building-systems-with-chatgpt,No description available,No instructor listed,1 hour
AI for Good,Specializations,[],Easy,"['Computer Vision', 'Data Processing', 'GenAI Applications', 'NLP', 'Supervised Learning']",https://www.deeplearning.ai/courses/ai-for-good,No description available,No instructor listed,Duration not listed
Machine Learning Specialization,Specializations,['Stanford Online'],Easy,"['Anomaly Detection', 'Deep Learning', 'Machine Learning', 'Supervised Learning', 'Unsupervised Learning']",https://www.deeplearning.ai/courses/machine-learning-specialization,No description available,No instructor listed,Duration not listed
Mathematics for Machine Learning and Data Science,Specializations,[],Easy,"['Deep Learning', 'Mathematical Foundations', 'Supervised Learning']",https://www.deeplearning.ai/courses/mathematics-for-machine-learning-and-data-science-specialization,No description available,No instructor listed,Duration not listed
